LOG_INF_A,temperature,dew_point_temperature,relative_humidity,wind_speed,sea_level_pressure,visibility,wet_bulb_temperature,precipitation,precipitation_24_hour
2.398,1.9712804878048784,1.2395121951219512,64.54268292682927,3.065644171779141,1019.1846153846152,10.096585365853658,1.5542307692307693,0.0,0.0
2.398,1.9993413173652697,1.524550898203593,75.41317365269461,2.6323353293413176,1016.9867924528304,8.575748502994012,1.7183018867924529,0.0,0.0
2.773,1.808443113772455,1.029820359281437,61.88622754491018,4.401197604790419,1017.7071428571428,10.837801204819275,1.384107142857143,0.0,0.0
1.792,1.781785714285714,1.3078571428571428,75.02380952380952,3.7,1019.4436363636364,9.866047904191618,1.5087272727272727,0.0,0.0
2.197,2.021717791411043,1.569079754601227,76.2638036809816,3.755828220858896,1015.825,9.20288343558282,1.7053125,0.0,0.0
1.609,1.8599404761904763,1.1148809523809524,64.07142857142857,4.454166666666667,1017.1692307692308,10.06952380952381,1.4484615384615387,0.0,0.0
0.0,1.7716766467065868,0.842994011976048,56.89820359281437,4.209580838323354,1012.8092592592592,10.358102409638551,1.2794444444444446,0.0,0.0
2.197,1.9847305389221557,0.9734730538922156,56.035928143712574,4.254491017964072,1015.4472727272728,9.511766467065868,1.4374545454545455,0.0,0.0
1.792,2.226407185628742,1.4379041916167663,64.1556886227545,3.5880239520958086,1014.1618181818184,7.234730538922156,1.7589090909090908,0.0,0.0
1.386,2.0462275449101797,1.0108982035928142,53.71257485029941,4.727544910179641,1016.5703703703704,9.205389221556883,1.4879629629629632,0.0,0.0
1.386,2.359880239520958,1.5116766467065867,61.36526946107784,4.7371257485029945,1014.3962264150944,9.927125748502991,1.8501923076923077,0.0,0.0
0.693,2.1926380368098157,0.6122085889570552,38.4601226993865,5.452760736196319,1015.4054545454546,10.801840490797549,1.3533333333333333,0.0,0.0
1.099,2.377272727272727,1.0156363636363637,45.96363636363636,4.707272727272727,1013.1480769230768,9.613939393939392,1.615,0.0,0.0
1.792,2.5647852760736196,0.8226993865030674,36.96319018404908,3.8828220858895706,1014.8592592592591,10.793650306748466,1.6111111111111112,0.0,0.0
1.792,2.5581927710843373,1.3857228915662652,53.04216867469879,5.209036144578313,1012.246153846154,8.920602409638553,1.8848076923076924,0.0,0.0
1.792,2.9124390243902436,1.4751829268292684,44.65243902439025,2.9829268292682927,1008.9796296296296,9.84878048780488,2.035740740740741,0.0,0.0
1.386,2.980920245398773,1.494049079754601,44.355828220858896,4.454601226993865,1007.5867924528302,8.658282208588957,2.0726923076923076,0.0,0.0
1.386,3.215595238095238,1.4348809523809525,37.00595238095238,4.166666666666667,1007.8981132075472,9.37857142857143,2.0739622641509436,0.0,0.0
1.946,3.495301204819277,1.7552409638554216,39.873493975903614,3.5174698795180723,1005.925,9.21867469879518,2.3385714285714285,0.0,0.0
1.792,3.7206097560975606,1.5478048780487803,30.70731707317073,5.55609756097561,1005.3944444444444,9.739024390243904,2.310185185185185,0.0,0.0
1.099,3.470869565217391,1.55175,35.40625,4.642857142857143,1005.6622641509432,10.07639751552795,2.2456603773584907,0.0,0.0
2.079,3.6046060606060606,1.7585365853658534,36.96341463414634,3.4884848484848487,1002.4018181818182,7.58,2.370909090909091,0.0,0.0
1.099,3.861144578313253,1.2113855421686748,23.05421686746988,5.332530120481928,999.4785714285716,7.245180722891567,2.194642857142857,0.0,0.0
0.693,3.6776646706586824,1.3191017964071856,26.48502994011976,6.404790419161676,999.6471698113209,7.938323353293414,2.1652830188679246,0.0,0.0
0.0,3.7736746987951806,1.1621686746987951,22.132530120481928,5.875151515151515,998.3096153846152,6.1891566265060245,2.125576923076923,0.0,0.0
0.693,3.55311377245509,2.12748502994012,48.88622754491018,3.935329341317366,999.25,7.31317365269461,2.6303846153846155,0.0,0.0
1.386,3.692678571428571,2.247202380952381,46.226190476190474,3.2470238095238093,996.3326530612244,7.67202380952381,2.6746938775510203,0.0,0.0
1.609,3.747380952380953,2.1164285714285715,42.964285714285715,3.3784431137724553,997.1764705882352,9.262886904761904,2.618235294117647,0.0,0.0
0.0,3.691071428571429,2.4179761904761907,52.720238095238095,3.2595238095238095,998.3943396226416,9.219642857142858,2.771509433962264,0.0,0.0
1.792,3.756909090909091,2.495030303030303,52.47878787878788,3.3254545454545457,996.2555555555556,7.5,2.845925925925926,0.0,0.0
0.693,3.6986666666666665,2.265151515151515,47.054545454545455,3.495731707317073,996.8836734693878,9.451515151515151,2.656938775510204,0.0,0.0
1.792,3.641077844311377,2.2202395209580836,49.76646706586826,4.641916167664671,1000.1981132075472,7.840718562874252,2.672452830188679,0.0,0.0
1.099,3.5432530120481927,2.542289156626506,58.006024096385545,2.7963855421686747,1000.572340425532,8.206626506024095,2.8176595744680855,0.0,0.0
1.609,3.5413173652694607,2.5026347305389223,57.17365269461078,3.510179640718563,1000.876,9.705361445783131,2.769607843137255,0.0,0.0
1.946,3.705595238095238,1.6432738095238095,32.95238095238095,4.876190476190477,1001.1019230769232,10.844047619047618,2.3628846153846155,0.0,0.0
1.946,3.4268452380952383,1.9611904761904764,46.23809523809524,4.34047619047619,1003.02,10.353958333333336,2.4243636363636365,0.0,0.0
1.792,3.3092261904761906,2.3475,59.642857142857146,2.7726190476190475,1006.8686274509804,8.787886904761905,2.638627450980392,0.0,0.0
1.386,3.3689880952380955,2.3758333333333335,58.55952380952381,3.2,1007.9888888888888,7.951964285714286,2.6474074074074077,0.0,0.0
2.079,3.0813772455089823,1.891437125748503,50.80239520958084,4.221556886227545,1011.210909090909,9.990090361445784,2.2852727272727273,0.0,0.0
1.386,3.1213173652694612,2.27688622754491,62.98203592814371,3.1634730538922153,1012.3096153846152,8.954909638554218,2.5250000000000004,0.0,0.0
