iso_weekstartdate,iso_year,iso_week,isoyw,temperature,dew_point_temperature,relative_humidity,wind_speed,wind_direction,sea_level_pressure,station_level_pressure,visibility,wind_gust,wet_bulb_temperature,altimeter,pressure_3hr_change,precipitation,precipitation_3_hour,precipitation_6_hour,precipitation_9_hour,precipitation_12_hour,precipitation_15_hour,precipitation_18_hour,precipitation_21_hour,precipitation_24_hour,Station_ID,Station_name,Latitude,Longitude,Elevation
2000-01-03,2000,1,200001,1.9840579710144928,1.5556521739130436,77.78260869565217,2.794202898550725,253.91304347826087,1016.2458333333334,1014.9458333333333,7.920597014925374,,1.7170833333333333,1015.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-01-10,2000,2,200002,1.9994444444444446,1.528888888888889,75.49305555555556,3.6872340425531913,203.23529411764707,1015.6142857142858,1014.2944444444444,9.716099290780143,,1.748888888888889,1015.050704225352,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-01-17,2000,3,200003,1.7037888198757765,0.99875,64.4125,4.595031055900621,262.25,1017.7296296296297,1016.4296296296296,10.72564814814815,,1.285925925925926,1016.820625,,0.0,0.0,0.0,166.1,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-01-24,2000,4,200004,1.8287037037037037,1.1378125000000001,66.175,4.139130434782609,267.35849056603774,1017.9403846153847,1016.8244897959185,10.825156250000001,10.3,1.4357446808510639,1017.4343949044587,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-01-31,2000,5,200005,1.805072463768116,1.0915328467153285,64.77372262773723,5.614492753623188,232.97101449275362,1019.8,1018.4382978723404,10.851920289855073,15.4,1.3878260869565218,1018.7692307692307,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-02-07,2000,6,200006,1.7290740740740742,0.8159259259259259,57.574074074074076,4.500625,287.75,1017.7163636363637,1016.4296296296296,11.246698113207549,12.3,1.2481481481481482,1017.195,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-02-14,2000,7,200007,1.6302453987730063,0.8400613496932515,62.56441717791411,3.5085889570552147,251.1464968152866,1019.2923076923076,1018.0274509803921,8.346770186335403,,1.2143137254901961,1018.6417177914111,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-02-21,2000,8,200008,1.892378048780488,0.9763414634146341,58.65243902439025,4.693865030674846,276.5644171779141,1017.3,1016.0357142857143,11.763810975609756,12.3,1.4001785714285713,1016.8472392638038,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-02-28,2000,9,200009,2.0454878048780487,1.432638036809816,70.07361963190183,4.66441717791411,195.1851851851852,1014.570588235294,1013.2865384615385,11.351975609756098,,1.6821568627450982,1014.2372670807453,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
2000-03-06,2000,10,200010,1.8946625766871166,0.6623780487804878,47.736196319018404,5.6884146341463415,288.1707317073171,1017.8509433962264,1016.4090909090909,10.838993710691824,13.836363636363638,1.244909090909091,1017.0496932515338,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QAI0000OTBD,DOHA INTL,25.2611,51.5651,10.7
